S_R,S_S,B_R,B_S
AAT,SSTK,NVDA,CMCSA
FCPT,PVH,A,TGT
GPRO,PENN,DUK,T
EXTR,IAC,VER,VZ
SGMO,CORT,ZTS,MAR
SUPN,AMPH,COST,BAC
AIT,EXPR,HON,BUD
TREX,FOSL,UNP,PFE
HSKA,CGC,LOW,MRK
KN,MCRI,AMT,TD
UIS,NSIT,PLD,WFC
GPRE,BOX,NOW,USB
INO,ODP,LRCX,NFLX
FGEN,ACB,ASML,TEVA
WKHS,VIA,XLNX,HLT
SSD,NBEV,HCA,TMUS
VRTV,CGEN,VRSK,TAP
KNDI,EVH,MCHP,NVS
ENPH,ACB,KLAC,WMT
MGI,PRQR,INFY,DEO
OMER,SGMS,SWKS,PNC
MFA,GDEN,EW,DAL
TRN,XNCR,ILMN,UL
ECOM,SWM,RACE,SIRI
SRPT,GSBD,TSM,SBUX
CCRN,SBCF,ISRG,AAL
HSTM,ALEX,ROP,CHTR
PCRX,RMAX,SCCO,CRM
NOMD,PLAY,FRC,MO
TRUP,UVV,AVGO,MGM
AMN,MGPI,SYK,HPQ
QTWO,QADB,FAST,BF-A
CYBR,IVAC,NTES,COF
FOLD,GLT,LULU,BCE
SKY,CVGW,ITW,KO
SRI,CLDT,CP,INTC
NVEE,EPAC,LEN,EL
CDXS,CVCO,DHI,GE
ATEC,TMP,EQIX,TM
BJRI,ITGR,DG,ACN
FIX,CHS,HD,JD
PATK,SNEX,WCN,PEP
GLOB,CENT,AJG,IBM
SEDG,CHEF,LBRDK,PVH
MASI,SPXC,LBRDA,TU
RH,BHE,GOLD,UAA
PRI,POWL,CTAS,PRGO
EGHT,ATNI,PUK,DISH
AEIS,CMO,DRE,GSK
PLXS,TRST,JCI,MFC
FBP,KELYB,FTS,NOC
VMI,GTLS,VTR,WBA
RUSHA,CSGS,SU,CVS
SGRY,UHT,BNS,UPS
LHCG,ACLS,AEM,V
SASR,DBI,ERIC,C
ASND,HNGR,ADI,SWK
PRGS,CAKE,SJM,VFC
NHC,ELY,DVN,NKE
CMRE,MMI,TEF,GM
LBAI,RGP,RSG,RY
TGH,BMI,HRL,CVX
HOPE,CPK,WAB,PG
RVNC,BANF,BAM,TFC
TNET,CBB,DLR,WDAY
HY,CAL,REG,EIX
FSP,RPT,GPC,CSCO
ACRE,POLY,SLF,UAL
AGX,PLMR,TU,BBVA
NWLI,OSPN,ABB,BIIB
AKR,CNXN,HPE,TMO
DDS,CAMP,MXIM,MA
HRI,PLCE,ARE,FISV
GMS,CRS,OTEX,ULTA
AMKR,BANR,CM,GPS
NSP,BLMN,WPC,ANTM
BLD,BCC,VRTX,BSX
MHO,AVNS,PANW,MU
ECPG,BHLB,FLT,TWTR
SYNA,TTEC,LKQ,ADSK
DOOR,CCS,PPL,CMG
SMCI,EFC,HDB,LBTYA
SCS,AX,O,EXC
ATKR,CENX,ITUB,VMW
KFY,NTUS,NXPI,BMRN
HMN,MODV,TTM,TSLA
ARCB,CPSI,SLB,BMY
HELE,NXGN,RCI,GIS
SAIA,CSII,GPN,MS
KRA,BCOR,AEE,INTU
MDRX,CSV,PH,DIS
MYRG,CCF,DTE,AXP
SITE,CWEN,NUE,GLW
PRAA,RAMP,NOK,QCOM
TTEK,AOSL,CHD,GILD
LGIH,CHE,UDR,KR
NYT,HLIO,KIM,CMI
FBC,PRO,OMC,PCG
HTH,BKE,FIS,ADP
HLI,CWST,MHK,AMD
