Date,Mkt-RF,SMB_Final,HML,BRF,RF,^GSPC,SMB
2016-07-05,-0.85,-0.307306728,-1.37,-0.010961328,0.001,-0.006847477,-0.61
2016-07-06,0.62,0.086065078,-0.14,0.005503166,0.001,0.005352963,0.17
2016-07-07,0.02,0.17026616,-0.19,0.002984371,0.001,-0.000871578,0.34
2016-07-08,1.6,0.448685292,0.33,0.01761873,0.001,0.015253349,0.89
2016-07-11,0.43,0.298365612,0.26,0.00522986,0.001,0.003408616,0.59
2016-07-12,0.75,0.307353949,0.98,0.008241456,0.001,0.007009293,0.61
2016-07-13,-0.05,-0.261229725,0.49,-0.002762549,0.001,0.000134768,-0.52
2016-07-14,0.51,-0.231852732,0.46,0.004364467,0.001,0.005259204,-0.46
2016-07-15,-0.05,0.151673574,0,-0.000435736,0.001,-0.000928947,0.3
2016-07-18,0.25,-0.010499158,-0.13,0.003772184,0.001,0.002382295,-0.02
2016-07-19,-0.22,-0.317630681,0.06,-0.006948309,0.001,-0.001435174,-0.63
2016-07-20,0.48,0.225554355,-0.9,0.008597477,0.001,0.004270301,0.45
2016-07-21,-0.38,-0.025098932,-0.01,-0.003391945,0.001,-0.003612529,-0.05
2016-07-22,0.48,0.124847804,-0.14,0.007740432,0.001,0.004553965,0.25
2016-07-25,-0.27,-0.014302564,-0.23,-0.003159112,0.001,-0.003011475,-0.03
2016-07-26,0.13,0.286481953,0.53,0.00444614,0.001,0.000322785,0.57
2016-07-27,-0.14,0.287333792,-0.43,0.000356762,0.001,-0.001198542,0.57
2016-07-28,0.18,-0.2115371,-0.31,0.00445108,0.001,0.001606209,-0.42
2016-07-29,0.17,-0.012162262,0.05,0.003912184,0.001,0.001631309,-0.02
2016-08-01,-0.16,0.091047086,-0.88,-0.000979318,0.001,-0.001269787,0.18
2016-08-02,-0.7,-0.290593923,0.18,-0.010396898,0.001,-0.00636162,-0.58
2016-08-03,0.45,0.238146347,0.82,0.005170738,0.001,0.003133943,0.47
2016-08-04,0.05,0.043299947,-0.35,-0.00142467,0.001,0.000212572,0.09
2016-08-05,0.93,0.199055125,0.98,0.004708566,0.001,0.008603496,0.39
2016-08-08,-0.06,0.01016829,0.53,-0.001548732,0.001,-0.000907165,0.02
2016-08-09,0.05,-0.010899129,-0.3,0.002716533,0.001,0.000389794,-0.02
2016-08-10,-0.29,-0.222162508,-0.15,-0.007930768,0.001,-0.002864686,-0.44
2016-08-11,0.54,0.071031768,0.03,0.00374576,0.001,0.004734588,0.14
2016-08-12,-0.06,0.043725971,-0.16,0.002785769,0.001,-0.000796046,0.09
2016-08-15,0.39,0.366223973,0.39,0.005455563,0.001,0.002792909,0.73
2016-08-16,-0.57,-0.13128668,0.61,-0.004968113,0.001,-0.005479077,-0.26
2016-08-17,0.12,-0.277104677,0.24,0.000865513,0.001,0.00186859,-0.55
2016-08-18,0.32,0.231674089,0.34,0.003895965,0.001,0.002199617,0.46
2016-08-19,-0.11,0.060619942,-0.15,0.001254751,0.001,-0.001440272,0.12
2016-08-22,-0.02,0.127151195,-0.41,-4.34E-06,0.001,-0.000563323,0.25
2016-08-23,0.27,0.283529591,-0.03,0.001647632,0.001,0.001951769,0.56
2016-08-24,-0.56,-0.236298276,0.39,-0.007205233,0.001,-0.005240277,-0.47
2016-08-25,-0.08,0.095977795,0.48,-0.000433385,0.001,-0.001365227,0.19
2016-08-26,-0.15,0.066521513,-0.09,-0.003429317,0.001,-0.001578817,0.13
2016-08-29,0.53,-0.033414062,0.35,0.002504238,0.001,0.005228047,-0.07
2016-08-30,-0.14,0.051680206,0.32,0.00401148,0.001,-0.001953681,0.1
2016-08-31,-0.24,-0.191716343,0.14,-0.00399703,0.001,-0.002375864,-0.38
2016-09-01,0.03,0.064258738,-0.48,0.003120329,0.001,-4.14E-05,0.13
2016-09-02,0.53,0.202950534,0.37,0.00384621,0.001,0.004201041,0.4
2016-09-06,0.26,0.03900558,-0.53,0.004290504,0.001,0.002981679,0.08
2016-09-07,0.09,0.310036095,0.05,-0.003919815,0.001,-0.000146385,0.61
2016-09-08,-0.18,-0.014131692,0.58,-0.002473197,0.001,-0.002223014,-0.03
2016-09-09,-2.47,-0.287284492,0.41,-0.028085882,0.001,-0.024522069,-0.57
2016-09-12,1.44,-0.000110546,-0.48,0.01596203,0.001,0.014677053,0
2016-09-13,-1.48,-0.13092911,-0.44,-0.017014787,0.001,-0.014830674,-0.26
2016-09-14,-0.08,0.060743445,-0.81,0.001896893,0.001,-0.000587677,0.12
2016-09-15,1.07,0.151153569,-0.32,0.011862684,0.001,0.010109273,0.3
2016-09-16,-0.36,0.172445341,-0.46,-0.004588669,0.001,-0.003772295,0.34
2016-09-19,0.05,0.209114114,0.15,0.008222878,0.001,-1.86E-05,0.41
2016-09-20,-0.02,-0.111412991,-0.43,-0.003029307,0.001,0.000299138,-0.22
2016-09-21,1.12,0.075175321,0.32,0.012747706,0.001,0.010917162,0.15
2016-09-22,0.7,0.428720111,-0.07,0.010051635,0.001,0.006499785,0.85
2016-09-23,-0.6,-0.050362188,-0.18,-0.006680479,0.001,-0.005736775,-0.1
2016-09-26,-0.88,-0.106619272,-0.35,-0.00928039,0.001,-0.008587762,-0.21
2016-09-27,0.64,-0.040153286,-0.5,0.006266972,0.001,0.00644417,-0.08
2016-09-28,0.56,0.111216562,1.1,0.007530119,0.001,0.005296554,0.22
2016-09-29,-0.98,-0.207159721,0.53,-0.010491786,0.001,-0.009321411,-0.41
2016-09-30,0.88,0.186487611,0.36,0.010129209,0.001,0.007967969,0.37
2016-10-03,-0.26,-0.01466594,-0.15,-0.004433682,0.001,-0.003260696,-0.03
2016-10-04,-0.46,0.013578617,0.13,-0.009565332,0.001,-0.004955562,0.02
2016-10-05,0.58,0.137679095,0.79,0.003733081,0.001,0.004296691,0.27
2016-10-06,-0.06,-0.130522072,0.33,-0.002843621,0.001,0.00048156,-0.26
2016-10-07,-0.38,-0.256289073,0.19,-0.010049053,0.001,-0.003253484,-0.51
2016-10-10,0.52,0.283984222,0.02,0.002990843,0.001,0.004605905,0.56
2016-10-11,-1.3,-0.302321935,0.45,-0.017115313,0.001,-0.012446472,-0.6
2016-10-12,0.06,-0.115281197,0.36,-0.000944224,0.001,0.001146589,-0.23
2016-10-13,-0.42,-0.339800701,-0.61,-0.000497964,0.001,-0.003099264,-0.67
2016-10-14,0.01,-0.190938025,0.58,-0.003455294,0.001,0.000201604,-0.38
2016-10-17,-0.29,-0.023880069,0.15,-0.004232883,0.001,-0.003037994,-0.05
2016-10-18,0.6,-0.086813067,0.03,0.008974731,0.001,0.006160403,-0.17
2016-10-19,0.25,0.01884366,0.91,0.000873227,0.001,0.002191971,0.04
2016-10-20,-0.16,-0.0107172,-0.12,-0.000641327,0.001,-0.001375724,-0.02
2016-10-21,0.02,-0.07477346,-0.31,-0.0017895,0.001,-8.41E-05,-0.15
2016-10-24,0.54,0.030021546,-0.21,0.003999866,0.001,0.00474984,0.06
2016-10-25,-0.46,-0.30305919,0.25,-0.007483074,0.001,-0.003797728,-0.6
2016-10-26,-0.23,-0.426197166,0.71,-0.000787751,0.001,-0.001740411,-0.85
2016-10-27,-0.33,-0.478376102,0.57,-0.007017071,0.001,-0.002986727,-0.95
2016-10-28,-0.29,-0.046801289,0.08,0.002504454,0.001,-0.003108299,-0.09
2016-10-31,0.02,0.016177835,0.09,0.0032522,0.001,-0.000122277,0.03
2016-11-01,-0.68,-0.182030533,0.2,-0.005902645,0.001,-0.006786883,-0.36
2016-11-02,-0.73,-0.325131637,0.34,-0.005828089,0.001,-0.006525501,-0.65
2016-11-03,-0.4,-0.233924681,1.04,-0.004590895,0.001,-0.004423401,-0.47
2016-11-04,-0.12,0.426718986,-0.47,0.003651845,0.001,-0.001666131,0.85
2016-11-07,2.23,0.09620428,-0.16,0.022580327,0.001,0.022223544,0.19
2016-11-08,0.4,-0.040815938,-0.22,-0.000226841,0.001,0.003771974,-0.08
2016-11-09,1.46,0.917316454,1.05,0.008180991,0.001,0.011077021,1.81
2016-11-10,0.32,0.572745658,1.85,0.001313694,0.001,0.001950746,1.12
2016-11-11,0.18,1.268676159,-0.05,-0.001702144,0.001,-0.00139795,2.51
2016-11-14,0.21,0.296741857,1.41,0.001421751,0.001,-0.000115503,0.58
2016-11-15,0.8,-0.276727632,0.14,0.003754534,0.001,0.007480798,-0.55
2016-11-16,-0.12,0.151196367,-0.58,-0.003777713,0.001,-0.001582264,0.3
