Date,sp500 100,Nasdaq 100 Balanced,Nasdaq 100 Screened
05/07/2016,-0.006847477,,
06/07/2016,0.005352963,0.005077933,0.005329296
07/07/2016,-0.000871578,0.000838836,0.000113883
08/07/2016,0.015253349,0.017912928,0.018577732
11/07/2016,0.003408616,0.004522357,0.004096983
12/07/2016,0.007009293,0.009971329,0.007960123
13/07/2016,0.000134768,-0.000109007,-0.000182999
14/07/2016,0.005259204,0.004396306,0.003365385
15/07/2016,-0.000928947,-0.000895932,-0.000316813
18/07/2016,0.002382295,0.002049015,0.001445508
19/07/2016,-0.001435174,-0.001969513,-0.001347867
20/07/2016,0.004270301,0.005165079,0.005422505
21/07/2016,-0.003612529,-0.00409219,-0.004208642
22/07/2016,0.004553965,0.006986282,0.00666091
25/07/2016,-0.003011475,-0.001179171,-0.002317291
26/07/2016,0.000322785,0.004344214,0.005295879
27/07/2016,-0.001198542,-0.004248384,-0.003466614
28/07/2016,0.001606209,0.002736971,0.002782789
29/07/2016,0.001631309,0.00114614,0.002999582
01/08/2016,-0.001269787,-0.001637924,-0.001801264
02/08/2016,-0.00636162,-0.008944373,-0.0076087
03/08/2016,0.003133943,0.005134721,0.005078003
04/08/2016,0.000212572,0.000671585,6.11E-05
05/08/2016,0.008603496,0.00959513,0.008552129
08/08/2016,-0.000907165,-0.000862431,-0.001011514
09/08/2016,0.000389794,0.000287811,0.001831368
10/08/2016,-0.002864686,-0.002335336,-0.001889808
11/08/2016,0.004734588,0.005703145,0.004780384
12/08/2016,-0.000796046,-0.001212789,-0.00092112
15/08/2016,0.002792909,0.005132658,0.004985386
16/08/2016,-0.005479077,-0.006398016,-0.007552152
17/08/2016,0.00186859,0.00117604,0.001126824
18/08/2016,0.002199617,0.004675681,0.006527051
19/08/2016,-0.001440272,0.000728987,0.000367792
22/08/2016,-0.000563323,4.84E-05,0.00019587
23/08/2016,0.001951769,0.003328095,0.003985853
24/08/2016,-0.005240277,-0.006242627,-0.006720797
25/08/2016,-0.001365227,0.000506699,0.000714658
26/08/2016,-0.001578817,-0.0020628,-0.00275097
29/08/2016,0.005228047,0.006046373,0.006725696
30/08/2016,-0.001953681,-0.001410198,-0.002086732
31/08/2016,-0.002375864,-0.002265188,-0.002995573
01/09/2016,-4.14E-05,0.000385895,0.000666726
02/09/2016,0.004201041,0.005425784,0.00690571
06/09/2016,0.002981679,0.000638027,0.000834752
07/09/2016,-0.000146385,0.001363854,0.000315677
08/09/2016,-0.002223014,-0.004273037,-0.005281461
09/09/2016,-0.024522069,-0.026296599,-0.0289459
12/09/2016,0.014677053,0.014783898,0.014592997
13/09/2016,-0.014830674,-0.015923054,-0.016937834
14/09/2016,-0.000587677,-0.001182882,-0.000937395
15/09/2016,0.010109273,0.010501892,0.010788572
16/09/2016,-0.003772295,-0.004548728,-0.005085639
19/09/2016,-1.86E-05,0.002554918,0.0045774
20/09/2016,0.000299138,-0.001310277,-0.002800588
21/09/2016,0.010917162,0.012785292,0.013691023
22/09/2016,0.006499785,0.008154409,0.009266612
23/09/2016,-0.005736775,-0.005338553,-0.006961619
26/09/2016,-0.008587762,-0.006736508,-0.005202905
27/09/2016,0.00644417,0.005767038,0.004338955
28/09/2016,0.005296554,0.005561104,0.007258666
29/09/2016,-0.009321411,-0.008713013,-0.008645364
30/09/2016,0.007967969,0.008367679,0.007317842
03/10/2016,-0.003260696,-0.00356767,-0.005098721
04/10/2016,-0.004955562,-0.005434656,-0.007191405
05/10/2016,0.004296691,0.003972912,0.00306135
06/10/2016,0.00048156,0.000802867,0.001970507
07/10/2016,-0.003253484,-0.005248171,-0.007003466
10/10/2016,0.004605905,0.004239297,0.004570577
11/10/2016,-0.012446472,-0.014509993,-0.015449318
12/10/2016,0.001146589,0.001885973,0.001962934
13/10/2016,-0.003099264,-0.003627853,-0.00363632
14/10/2016,0.000201604,0.000126441,0.00019761
17/10/2016,-0.003037994,-0.002284173,-0.000497865
18/10/2016,0.006160403,0.006742188,0.006267115
19/10/2016,0.002191971,0.003865283,0.003354918
20/10/2016,-0.001375724,-0.001332895,-0.002245536
21/10/2016,-8.41E-05,-0.00069141,-0.000680133
24/10/2016,0.00474984,0.004919448,0.004305135
25/10/2016,-0.003797728,-0.007339103,-0.007952406
26/10/2016,-0.001740411,-0.002161124,-0.003075118
27/10/2016,-0.002986727,-0.005244,-0.006508244
28/10/2016,-0.003108299,0.001069519,0.002145803
31/10/2016,-0.000122277,0.003454797,0.005257106
01/11/2016,-0.006786883,-0.007886727,-0.008781257
02/11/2016,-0.006525501,-0.007869444,-0.008372553
03/11/2016,-0.004423401,-0.002361212,-0.001881474
04/11/2016,-0.001666131,0.000867102,0.001489119
07/11/2016,0.022223544,0.021927602,0.020775246
08/11/2016,0.003771974,0.004395291,0.005061236
09/11/2016,0.011077021,0.011185391,0.010010664
10/11/2016,0.001950746,0.003551689,0.001405382
11/11/2016,-0.00139795,0.001380254,0.001104309
14/11/2016,-0.000115503,0.005916396,0.007528885
15/11/2016,0.007480798,0.00746091,0.007160054
16/11/2016,-0.001582264,-0.002112325,-0.001888372
17/11/2016,0.00467637,0.006794765,0.00561226
18/11/2016,-0.002386798,-0.001931617,-0.00166092
21/11/2016,0.007461401,0.006650534,0.007019745
22/11/2016,0.002165432,0.002992831,0.003490179
23/11/2016,0.000808025,0.002273684,0.002992158
25/11/2016,0.003914387,0.004184451,0.004228317
28/11/2016,-0.005254536,-0.005650364,-0.006025366
29/11/2016,0.001335293,0.001272298,0.001388588
30/11/2016,-0.002653404,-0.002996788,-0.00282691
01/12/2016,-0.003515529,-0.007020672,-0.010281882
02/12/2016,0.000397006,0.002160574,0.003237964
05/12/2016,0.005821305,0.007873805,0.008719565
06/12/2016,0.003410888,0.005509977,0.005132908
07/12/2016,0.013163242,0.014045908,0.013046531
08/12/2016,0.002159343,0.003854486,0.005397909
09/12/2016,0.005938985,0.001873748,-0.000735762
12/12/2016,-0.001137435,-0.002816448,-0.002095945
13/12/2016,0.006539775,0.004559169,0.003489003
14/12/2016,-0.008117172,-0.009471239,-0.010921801
15/12/2016,0.003883228,0.004006901,0.003922841
16/12/2016,-0.001750623,-0.002104929,-0.0010843
19/12/2016,0.001975121,0.001827445,0.002092138
20/12/2016,0.003637512,0.004028434,0.004187821
21/12/2016,-0.002457361,-0.002528974,-0.002985493
22/12/2016,-0.001862974,-0.003356779,-0.002895862
23/12/2016,0.001251715,0.002193479,0.002540924
27/12/2016,0.002248373,0.003067063,0.00360764
28/12/2016,-0.008356529,-0.009832934,-0.010939387
29/12/2016,-0.000293305,0.000860119,0.002261666
30/12/2016,-0.00463705,-0.00397646,-0.004186265
03/01/2017,0.008486575,0.007699553,0.007262484
04/01/2017,0.005722274,0.010435399,0.011187598
05/01/2017,-0.00077067,-0.002922476,-0.002695887
06/01/2017,0.003516959,0.003462896,0.003288657
09/01/2017,-0.003548594,-0.004228594,-0.004474093
10/01/2017,0,0.002320633,0.002156422
11/01/2017,0.002829638,0.003706477,0.004547536
12/01/2017,-0.002144809,-0.002360051,-0.001654545
13/01/2017,0.001849841,0.003540431,0.004728331
17/01/2017,-0.002967503,-0.003782161,-0.00368792
18/01/2017,0.001763754,0.00387002,0.004482926
